siRNA ID,Catalog Number,Gene Symbol,Gene Name,Alias,RefSeq,GenBank mRNA,Product Family,siRNA Type,Availability,siRNA Assay,Matched Keywords,,,,
s1449,4390824,BIRC2,baculoviral IAP repeat containing 2,API1;HIAP2;Hiap-2;MIHB;RNF48;c-IAP1;cIAP1,NM_001256163.1;NM_001166.4,BC016174.1;L49431.1;AK225856.1;BC028578.1;AK313446.1;U37547.1;U45879.1;BX647978.1,,Silencer® Select,Inventoried,,*,,,,
s16331,4390824,AKR7A2,aldo-keto reductase family 7 member A2,AFAR;AFAR1;AFB1-AR1;AKR7,NM_003689.3;NM_001320979.1,BU944847.1;BC011586.1;BC004111.2;BC010852.1;BC007352.2;BC013996.2;Y16675.1;AF026947.1;BC012171.1;EU794591.1,,Silencer® Select,Inventoried,,*,,,,
s26137,4390824,RAB30,RAB30, member RAS oncogene family,,NM_014488.4;NM_001286059.1;NM_001286060.1;NM_001286061.1,AF498956.1;BC014213.2;AK291376.1;BX641138.1;U57092.1;AK312323.1;CR542106.1,,Silencer® Select,Inventoried,,*,,,
s653,4390824,HTRA2,HtrA serine peptidase 2,OMI;PARK13;PRSS25,NM_145074.2;NR_135770.1;NM_013247.4;NR_135769.1;NR_135772.1;NR_135771.1;NM_001321727.1;NM_001321728.1,AK291977.1;AF141307.1;AF141305.1;AF141306.1;AK225932.1;BC000096.2;AF020760.2;AF184911.1,,Silencer® Select,Inventoried,,*,,,,
s11155,4390824,MAPK11,mitogen-activated protein kinase 11,P38B;P38BETA2;PRKM11;SAPK2;SAPK2B;p38-2;p38Beta,NM_002751.6;XM_011530706.1;NR_110887.1,AF031135.1;BX444192.2;BC027933.1;CR456514.1;AF001008.1;AK308969.1;AF001174.1;U53442.1;U92268.1;Y14440.1;AK291845.1;BX361670.2,,Silencer® Select,Inventoried,,*,,,,
s39400,4390824,USP30,ubiquitin specific peptidase 30,,NM_001301175.1;XM_017020051.1;XM_017020052.1;XM_017020053.1;XM_005253962.3;XM_017020054.1;XM_017020048.1;XM_006719653.3;XM_017020049.1;XM_011538894.2;XM_005253965.4;XM_017020050.1;NM_032663.4,BC022094.2;CN367077.1;AK027820.1;AJ586136.1;AK097830.1;BC004868.2,,Silencer® Select,Inventoried,,*,,,,
s32797,4390824,SMURF1,SMAD specific E3 ubiquitin protein ligase 1,,XM_017012457.1;NM_181349.2;NM_020429.2;NM_001199847.1,AB046845.1;AL834242.1;AF464850.1;BC136804.1;BC144414.1;AF199364.2;BC152468.1,,Silencer® Select,Inventoried,,*,,,,
s19868,4390824,PRMT3,protein arginine methyltransferase 3,HRMT1L3,XM_017017081.1;NM_005788.3;XM_011519836.2;NM_001145166.1;NM_001145167.1,AK129984.1;BC019339.1;BC064831.1;AK298185.1;AK301449.1;AK300591.1;BC037544.1;AF059531.1;AK125039.1;AK307776.1,,Silencer® Select,Inventoried,,*,,,,
s17877,4390824,SLC9A3R2,SLC9A3 regulator 2,E3KARP;NHE3RF2;NHERF-2;NHERF2;OCTS2;SIP-1;SIP1;TKA-1,NM_001252076.1;NM_001252075.1;NM_004785.5;NM_001252073.1;XM_017023894.1;NM_001130012.2;XM_017023895.1;XM_005255702.4;XM_006720981.1,BC014513.1;BC106001.1;U82108.1;AF004900.1;Z50150.1;BC069014.1,,Silencer® Select,Inventoried,,*,,,,
s13559,4390824,ELOVL4,ELOVL fatty acid elongase 4,ADMD;CT118;ISQMR;SCA34;STGD2;STGD3,NM_022726.3,AK312511.1;BC038506.1;AF277094.1;AK055277.1;AY037298.1,,Silencer® Select,Inventoried,,*,,,,
s15820,4390824,BAP1,BRCA1 associated protein 1,HUCEP-13;UCHL2;hucep-6,XM_011534152.1;XM_011534151.2;NM_004656.3;XM_011534150.2;XM_017007303.1;XM_011534149.2,AK292608.1;AF045581.1;D87462.2;D88812.1;DQ593715.1;BC001596.1,,Silencer® Select,Inventoried,,*,,,,
s8852,4390824,MMP2,matrix metallopeptidase 2,CLG4;CLG4A;MMP-2;MMP-II;MONA;TBE-1,NM_001302508.1;NM_004530.5;NM_001302510.1;NM_001302509.1;NM_001127891.2,AU133104.1;DA579926.1;BC002576.2;AK310314.1;AL832088.1;AK312711.1;J03210.1;AK301536.1,,Silencer® Select,Inventoried,,*,,,,
s17937,4390824,PPT2,palmitoyl-protein thioesterase 2,C6orf8;G14;PPT-2,NM_005155.6;NM_138717.2;NM_001204103.1,CR533546.1;AL110128.1;Y17958.1;BC001355.2;AF020543.1,,Silencer® Select,Inventoried,,*,,,,
s10929,4390824,PPOX,protoporphyrinogen oxidase,PPO;V290M;VP,XM_017001560.1;NM_001122764.1;XM_011509664.1;XM_017001559.1;XM_011509674.2;XM_011509666.2;XM_011509678.1;XM_006711403.2;XM_006711404.3;XM_011509679.1;XM_011509677.1;XM_006711406.2;XM_011509669.1;XM_017001568.1;XM_011509670.2;XM_017001567.1;XM_011509682.1;XM_017001566.1;XM_017001565.1;XM_011509668.2;XM_006711402.2;XM_017001564.1;XM_005245295.3;XM_011509673.2;XM_017001563.1;XM_017001562.1;XM_017001561.1;XM_011509675.2;XM_011509663.2;XM_011509676.1;XM_005245291.3;NM_000309.3;XM_017001571.1;XM_017001570.1;XM_017001569.1;XM_011509665.2;XM_011509667.2;XM_011509681.1;XM_011509672.2;XM_011509671.1,BC002357.2;U26446.1;AK298912.1;D38537.1;AK094855.1;AK302298.1,,Silencer® Select,Inventoried,,*,,,,
s9759,4390824,ROR2,receptor tyrosine kinase like orphan receptor 2,BDB;BDB1;NTRKR2,XM_005252008.4;XM_017014762.1;NM_001318204.1;XM_017014763.1;XM_006717121.3;NM_004560.3,BC130522.1;BC033697.1;BI089313.1;M97639.1;AB209154.1;BC051273.1,,Silencer® Select,Inventoried,,*,,,,
s11694,4390824,RAB27A,RAB27A, member RAS oncogene family,GS2;HsT18676;RAB27;RAM,XM_005254576.4;XM_011521856.2;NM_004580.4;NM_183236.2;NM_183235.2;NM_183234.2;XM_011521854.1;XM_011521855.2;XM_011521852.1,DA553342.1;U38654.3;BC107680.1;AF498953.1;BC136423.1;U57094.1;BM014705.1;AF125393.1;AK312836.1;CR536496.1;DA182503.1;CR541693.1;BC132800.1;CR457076.1,,Silencer® Select,Inventoried,,*,,,
s4928,4390824,F2RL2,coagulation factor II thrombin receptor like 2,PAR-3;PAR3,NM_004101.3;NM_001256566.1,BX537386.1;AK312848.1;BC093650.1;DC419029.1;AK298585.1;U92971.1;BC093648.1;BC095499.1,,Silencer® Select,Inventoried,,*,,,,
s10923,4390824,PPM1B,protein phosphatase, Mg2+/Mn2+ dependent 1B,PP2C-beta;PP2C-beta-X;PP2CB;PP2CBETA;PPC2BETAX,NM_177968.3;NM_177969.3;NM_001033557.2;XM_017004395.1;XM_017004396.1;XM_017004397.1;XM_011532936.2;NM_002706.5,AJ271835.1;BC064381.1;AK056009.1;AF136972.1;AJ005801.1;AF294792.1;DQ023510.1;BC012002.1;DQ023509.1;DQ023511.1;AJ271832.1;DQ023508.1;AL833035.1;AK291214.1,,Silencer® Select,Inventoried,,*,,,
s1551,4390824,ARF1,ADP ribosylation factor 1,,XM_017001233.1;NM_001658.3;NM_001024227.1;NM_001024226.1;NM_001024228.1,BC010429.1;AK000620.1;AK297792.1;M84326.1;AK130737.1;BC011358.1;AF055002.1;BC009247.2;AK057838.1;AF052179.1;BQ949763.1;AK293553.1;AK296020.1;BM844480.1;BG421840.1;BQ935470.1;BM353046.1;M36340.1;BT007393.1;AK057875.1;AF493881.1,,Silencer® Select,Inventoried,,*,,,,
s4217,4390824,DNMT1,DNA (cytosine-5-)-methyltransferase 1,ADCADN;AIM;CXXC9;DNMT;HSN1E;MCMT;m.HsaI,NM_001379.3;NM_001318731.1;NM_001318730.1;NM_001130823.2,X63692.1;AB209413.2;AF180682.1;BC126227.1;BC144093.1;BC092517.1,,Silencer® Select,Inventoried,,*,,,,
s11510,4390824,PTPN2,protein tyrosine phosphatase, non-receptor type 2,PTN2;PTPT;TC-PTP;TCELLPTP;TCPTP,NM_080422.2;XM_011525707.2;NM_001207013.1;NM_002828.3;XM_011525706.2;XM_017025888.1;XM_011525705.2;XM_017025887.1;NM_001308287.1;XM_017025886.1;NM_080423.2;XM_017025885.1;XM_017025884.1;XM_005258124.3;XM_005258125.3,BC016727.1;AK225706.1;AK290649.1;BC008244.1;AK292570.1;M25393.1;AB209569.1,,Silencer® Select,Inventoried,,*,,,
s2841,4390824,CDKN1C,cyclin dependent kinase inhibitor 1C,BWCR;BWS;KIP2;WBS;p57;p57Kip2,NM_000076.2;NM_001122630.1;XM_005252732.4;NM_001122631.1;XM_017017088.1,U22398.1;BC067842.1;EU570054.1,,Silencer® Select,Inventoried,,*,,,,
s14087,4390824,TGM2,transglutaminase 2,TG(C);TGC,NM_004613.3;XM_011529028.1;NM_198951.2;NM_001323318.1;NM_001323317.1;NM_001323316.1,AK058031.1;AK295775.1;AK291714.1;AK314618.1;M55153.1;EU794665.1;AK300292.1;AY675221.1;BC003551.1;M98478.1,,Silencer® Select,Inventoried,,*,,,,
s30268,4390824,CDCA8,cell division cycle associated 8,BOR;BOREALIN;DasraB;MESRGP,NM_001256875.1;NM_018101.3,AY508815.2;BC000703.2;BC008079.2;AK222568.1;AK302116.1;AK022104.1;AK291917.1;AK222549.1;BC001651.2;BC016944.1;AK022606.1;AK001330.1,,Silencer® Select,Inventoried,,*,,,,
s24406,4390824,KIF4A;KIF4B,kinesin family member 4B;kinesin family member 4A,KIF4;KIF4G1;MRX100,NM_001099293.1;NM_012310.4,AF071592.2;BC050548.1;AJ271784.1;BC003664.2;AK022592.1;AF179308.1;AK313133.1;BC038459.1;AK302388.1;AB208797.1;AF277375.1;BC049218.1,,Silencer® Select,Inventoried,,*,,,,
s10374,4390824,PFKP,phosphofructokinase, platelet,ATP-PFK;PFK-C;PFK-P;PFKF,NM_001323072.1;XM_005252467.2;NM_001323071.1;XM_006717449.1;NM_001323070.1;NM_001323069.1;XM_005252465.4;NM_001323068.1;NM_002627.4;NM_001323067.1;NM_001323074.1;NM_001323073.1;XM_005252466.4;NM_001242339.1,BC002536.1;AL521453.3;AK291841.1;BC043156.1;BC021698.1;AK128373.1;AK129843.1;AK130767.1;D25328.1;AK092597.1;AK097692.1;AK309692.1;AK308003.1;BC029138.1,,Silencer® Select,Inventoried,,*,,,
s14546,4390824,TYRO3,TYRO3 protein tyrosine kinase,BYK;Dtk;Etk-2;RSE;Rek;Sky;Tif,XM_017022542.1;NM_006293.3;XM_017022543.1,X72886.1;BC029925.2;U05682.1;AB209431.1;D17517.1;D50479.1;U02566.1;BC049368.1;BC034960.1;AK295496.1;BC051756.1,,Silencer® Select,Inventoried,,*,,,,
s2076,4390824,BPHL,biphenyl hydrolase-like (serine hydrolase),BPH-RP;MCNAA;VACVASE,NM_004332.3;NM_001302777.1;NR_026648.2;NR_026649.2,BC037778.1;AL832502.1;BC106901.1;AJ617684.1;AK314909.1;AK297518.1;X81372.1,,Silencer® Select,Inventoried,,*,,,,
s223228,4390824,GABARAPL2,GABA type A receptor associated protein like 2,ATG8;ATG8C;GATE-16;GATE16;GEF-2;GEF2,NM_007285.6,BC029601.1;AF077046.1;BC005985.1;BC014594.2;AB030710.1;AK289788.1;AF087848.1;CR542217.1;AJ010569.1,,Silencer® Select,Inventoried,,*,,,,
s5722,4390824,GGCX,gamma-glutamyl carboxylase,VKCFD1,NM_000821.6;XM_005264259.4;NM_001311312.1;XM_011532764.2,M81592.1;AK313126.1;AK310483.1;EU847509.1;DC296316.1;AK222827.1;BM704752.1;AK225663.1;L17128.1;BC013979.2,,Silencer® Select,Inventoried,,*,,,,
s41438,4390824,CHST14,carbohydrate sulfotransferase 14,ATCS;D4ST1;EDSMC1;HNK1ST,NM_130468.3,BC023653.2;AB066595.1;AY358446.1;AK074739.1;BC053633.1;AF282905.1;AF401222.1;BC049214.1,,Silencer® Select,Inventoried,,*,,,,
s27412,4390824,ADIPOR1,adiponectin receptor 1,ACDCR1;CGI-45;CGI45;PAQR1;TESBP1A,NM_015999.5;XM_017001407.1;NM_001290629.1;NM_001290557.1;NM_001290553.1,BC001594.2;BC010743.1;AK124455.1;AK222503.1;AY424279.1;AF125179.1;AK001484.1;AF151803.1;AK058114.1,,Silencer® Select,Inventoried,,*,,,,
s8646,4390824,MECP2,methyl-CpG binding protein 2,AUTSX3;MRX16;MRX79;MRXS13;MRXSL;PPMX;RS;RTS;RTT,NM_004992.3;XM_006724819.3;XM_005274682.4;NM_001110792.1;NM_001316337.1;XM_017029533.1;XM_011531166.2,HQ141378.1;Y12643.1;BX538060.1;GQ896382.1;GQ203295.1;BC011612.1;HM156732.1;GU479943.1;AJ132917.1;GQ203294.1;L37298.1;AK289444.1;AB209464.1;AF158180.1;HM020402.1;GQ203293.1;HQ154629.1;X89430.1,,Silencer® Select,Inventoried,,*,,,,
s11354,4390824,PSMB5,proteasome subunit beta 5,LMPX;MB1;X,NM_002797.4;NM_001130725.1;XM_005267871.2;NM_001144932.2,BX248299.1;S74378.1;BC107720.1;CD048996.1;BX538001.1;BU539357.1;BT006777.1;AK311895.1;AK300714.1;BC057840.1,,Silencer® Select,Inventoried,,*,,,,
s31240,4390824,SCYL2,SCY1 like pseudokinase 2,CVAK104,XM_017019619.1;XM_017019618.1;NM_001317784.1;XM_017019620.1;NM_017988.5,AK027551.1;AK292980.1;AB037781.1;AK125091.1;AK000936.1;AK024274.1;BC063798.1,,Silencer® Select,Inventoried,,*,,,,
s21597,4390824,YWHAQ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta,14-3-3;1C5;HS1,NM_006826.3,AK316158.1;AK309462.1;BT020014.1;AK297624.1;AK302208.1;BC056867.1;X56468.1;BC093019.1;X57347.1;BC050601.1;AF070556.1;BC001197.1,,Silencer® Select,Inventoried,,*,,,,
s45152,4390824,DIRAS1,DIRAS family GTPase 1,Di-Ras1;GBTS1;RIG,NM_145173.3;XM_011527713.2,AB076888.1;BC030660.1;AY059641.1;AY056037.1;AY180973.1,,Silencer® Select,Inventoried,,*,,,,
s5206,4390824,FKBP1A,FK506 binding protein 1A,FKBP-12;FKBP-1A;FKBP1;FKBP12;PKC12;PKCI2;PPIASE,NM_000801.4;NM_054014.3;NM_001199786.1,M34539.1;BC119733.1;BT007066.1;CR407613.1;AB241123.1;BC001925.1;CR542168.1;CN426120.1;BC005147.2;BU540706.1;CX870892.1;X52220.1;AB241124.1;BC119732.1;AB241125.1,,Silencer® Select,Inventoried,,*,,,,
s8984,4390824,MSN,moesin,HEL70,XM_017029545.1;XM_011530959.1;XM_017029546.1;XM_005262269.2;NM_002444.2,BC017293.2;AK308486.1;M69066.1;CN386296.1;EU794636.1;BC001112.2;BC011827.2,,Silencer® Select,Inventoried,,*,,,,
s15,4390824,GLUD1,glutamate dehydrogenase 1,GDH;GDH1;GLUD,NM_001318900.1;NM_001318902.1;NM_001318901.1;NM_001318904.1;NM_001318906.1;NM_001318905.1;NM_005271.4,AK297456.1;AK297441.1;BC040132.1;AK122685.1;AK094782.1;AK303458.1;X07769.1;AK294685.1;M20867.1;M37154.1;BC112946.1;AB209406.1;X07674.1;J03248.1,,Silencer® Select,Inventoried,,*,,,,
s23841,4390824,SLC35A3,solute carrier family 35 member A3,AMRS,XM_017000869.1;NM_001271685.1;XM_005270691.4;NM_012243.2;XM_011541135.2;XM_017000872.1;XM_011541136.2,AK024989.1;AB021981.1;CR749816.1;AK290573.1,,Silencer® Select,Inventoried,,*,,,,
s37585,4390824,ITFG1,integrin alpha FG-GAP repeat containing 1,2310047C21Rik;CDA08;LNKN-1;TIP,NM_030790.4;NM_001305002.1,AK027596.1;AF212247.1;BC024162.1;AK301908.1;AF503339.1;BC006321.2,,Silencer® Select,Inventoried,,*,,,,
s24179,4390824,AMACR;C1QTNF3-AMACR,C1QTNF3-AMACR readthrough (NMD candidate);alpha-methylacyl-CoA racemase,AMACRD;CBAS4;RACE;RM,NM_001167595.1;NR_037951.1;NM_014324.5;NM_203382.2,AK222831.1;AJ130733.1;AF047020.1;FJ498907.1;AK000912.1;AK022765.1;BC009471.1;BI550368.1;AL545355.3;BQ941482.1;BT007193.1;AY330488.1;AF158378.1;FJ498908.1;AY330489.1;BG708726.1;AY935981.1;FJ498906.1;AK225749.1;EF560721.1;AB209261.1;AK292988.1,,Silencer® Select,Inventoried,,*,,,,
s14591,4390824,UBE2I,ubiquitin conjugating enzyme E2 I,C358B7.1;P18;UBC9,NM_194259.2;NM_194260.2;NM_194261.2;XM_017023640.1;XM_005255540.2;XM_005255541.4;NM_003345.4;XM_011522644.2;XM_011522645.1,U38785.1;BU543455.1;BC004429.1;U66867.1;BC051289.1;X96427.1;AB208988.1;BT006932.1;D45050.1;BI523501.1;U29092.1;U31882.1;AK291118.1;CX788607.1;U66818.1;U45328.1;BC000427.2;AJ002385.1;BE262845.1;AK024172.1;BT007010.1;U31933.1;CD249028.1,,Silencer® Select,Inventoried,,*,,,,
s10497,4390824,PIGC,phosphatidylinositol glycan anchor biosynthesis class C,GPI2,NM_002642.3;NM_153747.1,BC006539.2;BT006734.1;D85418.1;CR450292.1;AK308201.1,,Silencer® Select,Inventoried,,*,,,,
s2444,4390824,CAT,catalase,,NM_001752.3,BC110398.1;X04076.1;BC027300.1;AY028632.1;AK315350.1;BC112219.1;AK291585.1;BC112217.1,,Silencer® Select,Inventoried,,*,,,,
s14618,4390824,UCHL1,ubiquitin C-terminal hydrolase L1,HEL-117;HEL-S-53;NDGOA;PARK5;PGP 9.5;PGP9.5;PGP95;Uch-L1,NM_004181.4,X04741.1;AK054579.1;AB209038.1;FJ224355.1;BC006305.2;BC018838.2;AK315368.1;BC000332.2;BP202166.1;GQ472201.1;BC005117.1,,Silencer® Select,Inventoried,,*,,,,
s11371,4390824,PSMC2,proteasome 26S subunit, ATPase 2,MSS1;Nbla10058;S7,NM_002803.3,AK298821.1;AB075520.1;D11094.1;AK312648.1;BC002589.2,,Silencer® Select,Inventoried,,*,,,
s1324,4390824,AMFR,autocrine motility factor receptor,GP78;RNF45,XM_005255890.3;NM_001144.5;NM_001323512.1;NM_001323511.1,AA280077.1;AF124145.1;BC069197.1;DB172402.1,,Silencer® Select,Inventoried,,*,,,,
s2942,4390824,CTSC,cathepsin C,CPPI;DPP-I;DPP1;DPPI;HMS;JP;JPD;PALS;PDON1;PLS,NM_001814.5;NM_001114173.2;NM_148170.4,AK223038.1;AK292117.1;AF525033.1;BC109386.1;BC100894.1;BX380095.2;BC100891.1;AF234264.1;AF234263.1;BC100892.1;CB114425.1;AK311923.1;BX459226.2;BC054028.1;BC113897.1;AF525032.1;BC100893.1;AK296190.1;AF254757.1;CN368896.1;BX537913.1;X87212.1;BC113850.1;BC110071.1,,Silencer® Select,Inventoried,,*,,,,
s16817,4390824,DPM2,dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit,CDG1U,NM_003863.3,BC015233.1;BC107863.1;BC015374.1;AF061729.1,,Silencer® Select,Inventoried,,*,,,
s1630,4390824,ARSB,arylsulfatase B,ASB;G4S;MPS6,XM_011543393.1;NM_000046.3;XM_011543392.2;XM_011543391.2;XM_011543390.1;XM_017009471.1;NM_198709.2,BC029051.1;M32373.1;AK290865.1;J05225.1;AK314903.1,,Silencer® Select,Inventoried,,*,,,,
s9690,4390824,NPR3,natriuretic peptide receptor 3,ANP-C;ANPR-C;ANPRC;C5orf23;GUCY2B;NPR-C;NPRC,XM_011514049.2;NM_001204376.1;XM_011514048.2;NM_001204375.1;XM_011514047.1;XM_005248309.1;XM_017009492.1;NM_000908.3,AK300094.1;AK308301.1;AF025998.1;BC131540.1;M59305.1;X52282.1;AK290870.1,,Silencer® Select,Inventoried,,*,,,,
s12476,4390824,SAT1,spermidine/spermine N1-acetyltransferase 1,DC21;KFSD;KFSDX;SAT;SSAT;SSAT-1,XM_017029720.1;NR_027783.2;NM_002970.3,CR450294.1;BT006825.1;AY841998.1;AK312162.1;BC008424.1;M77693.1;CD516700.1;BC002503.2;M55580.1;AL050290.1;CD638929.1,,Silencer® Select,Inventoried,,*,,,,
s44388,4390824,UBE2F;UBE2F-SCLY,ubiquitin conjugating enzyme E2 F (putative);UBE2F-SCLY readthrough (NMD candidate),NCE2,NM_001278308.1;NM_001278307.1;NM_001278305.1;NM_080678.2;NR_037904.1;NR_103498.1;NR_103499.1;NR_103500.1,BX421077.2;BC010549.1;AK297502.1;DA140546.1;BQ959565.1;BM920749.1;AK294107.1;AK303094.1;AK290063.1;DB118122.1;AF310723.1;AK293334.1,,Silencer® Select,Inventoried,,*,,,,
s38156,4390824,RIOK1,RIO kinase 1,AD034;RRP10;bA288G3.1,NM_031480.2;XM_011514933.2;NM_153005.1;XM_005249446.3,AL834277.1;AK054568.1;BC006104.1;AK314467.1;AF258661.1,,Silencer® Select,Inventoried,,*,,,,
s357,4390824,RASA3,RAS p21 protein activator 3,GAP1IP4BP;GAPIII,XM_011534841.2;NM_007368.3;NM_001320822.1;NM_001320821.1;XM_011534842.2;XM_017020438.1;XM_017020439.1,AK289746.1;BC047242.1;AK313795.1;BC038456.1;AK128094.1;AK294913.1;X89399.1,,Silencer® Select,Inventoried,,*,,,,
s11511,4390824,PTPN2,protein tyrosine phosphatase, non-receptor type 2,PTN2;PTPT;TC-PTP;TCELLPTP;TCPTP,NM_080422.2;XM_011525707.2;NM_001207013.1;NM_002828.3;XM_011525706.2;XM_017025888.1;XM_011525705.2;XM_017025887.1;NM_001308287.1;XM_017025886.1;NM_080423.2;XM_017025885.1;XM_017025884.1;XM_005258124.3;XM_005258125.3,BC016727.1;AK225706.1;AK290649.1;BC008244.1;AK292570.1;M25393.1;AB209569.1,,Silencer® Select,Inventoried,,*,,,
s167,4390824,ADSS,adenylosuccinate synthase,ADEH;ADSS 2,NM_001126.3;XM_011544108.2,BC012356.1;AK025514.1;AK303886.1,,Silencer® Select,Inventoried,,*,,,,
s15395,4390824,MOGS,mannosyl-oligosaccharide glucosidase,CDG2B;CWH41;DER7;GCS1,NM_006302.2;NM_001146158.1;XM_017004877.1;XM_017004876.1,AK313355.1;BC117250.1;AK292553.1;BC117252.1;AK307991.1;X87237.1;BC028337.1;AK292719.1,,Silencer® Select,Inventoried,,*,,,,
s16641,4390824,RNGTT,RNA guanylyltransferase and 5'-phosphatase,CAP1A;HCE;HCE1;hCAP,NM_003800.4;XM_017011402.1;XM_017011401.1;NM_001286428.1;NM_001286426.1,AK299777.1;AK312407.1;AB009022.1;AB009023.1;AF025654.1;AB009024.1;AK295719.1;AB012142.1;AB012143.1;BC019954.1,,Silencer® Select,Inventoried,,*,,,,
s4359,4390824,DTYMK,deoxythymidylate kinase,CDC8;PP3731;TMPK;TYMK,NM_012145.3;NM_001165031.1;NM_001320905.1;NM_001320902.1;NR_135492.1;NR_033255.1;NM_001320904.1;NM_001320903.1,BG765702.1;CR541986.1;BC001827.2;BC171903.1;L16991.1;BM552707.1;CX166352.1;CR542015.1;BC171902.1;AK223434.1;BC147010.1;CN356277.1;X54729.1;BC171894.1;BC147006.1,,Silencer® Select,Inventoried,,*,,,,
s21679,4390824,TLK2,tousled like kinase 2,HsHPK;PKU-ALPHA,XM_017024045.1;XM_011524225.2;XM_017024046.1;XM_011524226.2;XM_017024047.1;XM_011524227.2;XM_017024048.1;XM_011524228.2;XM_011524216.2;XM_017024049.1;XM_011524229.2;XM_017024050.1;XM_011524217.2;XM_017024051.1;XM_011524218.2;XM_017024052.1;XM_017024053.1;XM_017024054.1;XM_011524220.2;XM_017024055.1;XM_017024056.1;XM_017024057.1;XM_011524222.2;NM_001284363.1;XM_017024058.1;XM_011524223.2;NM_001284333.1;XM_017024059.1;XM_017024060.1;NM_006852.3;XM_011524215.2;XM_011524221.2;XM_011524224.2;XM_017024044.1,AB004884.1;AF162667.1;AK300586.1;BC044925.1;AX775745.1,,Silencer® Select,Inventoried,,*,,,,
s910,4390824,ASIC1,acid sensing ion channel subunit 1,ACCN2;ASIC;BNaC2,NM_001095.3;XM_011538352.1;NR_046389.1;XM_011538350.1;XM_011538351.2;NM_020039.3;NM_001256830.1,AK293960.1;BC013891.2;HM991481.1;U78180.1;BC133707.1;AK290010.1;U78181.1;EU078959.1;AK311047.1,,Silencer® Select,Inventoried,,*,,,,
s10365,4390824,PFKL,phosphofructokinase, liver type,ATP-PFK;PFK-B;PFK-L,XM_011529603.2;XM_017028368.1;XM_006724012.1;XM_006724011.1;NM_001002021.2;NM_002626.5;XM_005261137.4;XM_017028369.1;XM_005261135.3;XM_017028370.1;XM_017028371.1;XM_017028372.1,AK303605.1;AB209127.1;BC018295.1;BX537446.1;BX641051.1;AK308437.1;BC007536.1;BC006422.1;AK054735.1;BC008964.2;AK098228.1;X15573.1;BC009919.2;AK091488.1;BC004920.2,,Silencer® Select,Inventoried,,*,,,
s17192,4390824,CLIC3,chloride intracellular channel 3,,XM_017015282.1;NM_004669.2;XM_017015281.1,BC007012.1;CR542066.1;AF102166.1,,Silencer® Select,Inventoried,,*,,,,
s974,4390824,ACVR1,activin A receptor type 1,ACTRI;ACVR1A;ACVRLK2;ALK2;FOP;SKR1;TSRI,XM_011512106.2;XM_011512108.2;XM_011512107.2;NM_001105.4;XM_005246939.3;XM_005246940.3;NM_001111067.2;XM_006712825.3,L02911.1;Z22534.1;KU177887.1;KU177885.1;BC033867.1;AK297765.1;KU177886.1;BC036748.1;AK313630.1,,Silencer® Select,Inventoried,,*,,,,
s763,4390824,TBK1,TANK binding kinase 1,FTDALS4;NAK;T2K,XM_005268809.1;XM_005268810.1;NM_013254.3,AK303683.1;BC034950.2;AK291039.1;AK002192.1;AF191838.1;AF174536.1,,Silencer® Select,Inventoried,,*,,,,
s11171,4390824,MAP2K2;LOC407835,mitogen-activated protein kinase kinase 2;mitogen-activated protein kinase kinase 2 pseudogene,CFC4;MAPKK2;MEK2;MKK2;PRKMK2,XM_017026990.1;XM_017026989.1;XM_006722799.2;XM_017026991.1;NR_002144.1;NM_030662.3,BC000471.2;L11285.1;BX538081.1;BC018645.2,,Silencer® Select,Inventoried,,*,,,,
s14187,4390824,TLN1,talin 1,ILWEQ;TLN,NM_006289.3,AF177198.1;AB028950.2;AF078828.1;BC042923.1,,Silencer® Select,Inventoried,,*,,,,
s9734,4390824,NT5E,5'-nucleotidase ecto,CALJA;CD73;E5NT;NT;NT5;NTE;eN;eNT,NM_001204813.1;NM_002526.3,AK075083.1;AK314661.1;DQ186653.1;X55740.1;AK075008.1;BC065937.1,,Silencer® Select,Inventoried,,*,,,,
s158,4390824,PTPN12,protein tyrosine phosphatase, non-receptor type 12,PTP-PEST;PTPG1,NM_001131009.1;XM_006716073.3;XM_011516444.1;NM_002835.3;NM_001131008.1,M93425.1;D13380.1;S69184.1;AK296764.1;AK303602.1;AK289573.1;CN395133.1;BC050008.1;AB209524.1;AK314236.1,,Silencer® Select,Inventoried,,*,,,
s16195,4390824,HAT1,histone acetyltransferase 1,KAT1,XM_011512027.2;NR_027862.1;XM_017005137.1;XM_006712808.3;NM_003642.3;XM_017005136.1,BC063003.1;AK309001.1;AK127840.1;AK313699.1;BC018682.1;AF030424.1,,Silencer® Select,Inventoried,,*,,,,
s3259,4390824,CNP,2',3'-cyclic nucleotide 3' phosphodiesterase,CNP1,NM_033133.4;XM_011524340.2;XM_006721701.3,AK098384.1;CB988051.1;M19650.1;BC001362.2;BC028040.1;BC006392.2;AK097833.1;BC011046.1;AK026876.1,,Silencer® Select,Inventoried,,*,,,
